rank,cik,name,tags,score,rev_cur_M,rev_yoy_pct,op_cur_M,op_prev_M,margin_delta_pp
1,723125,"Micron Technology, Inc.",S1+S3,0.993,41456.0,345.7,33318.0,2169.0,57.0
2,1356090,"PRECIGEN, INC.",S2,0.984,55.0,6322.7,22.6,-31.8,3751.9
3,1735438,MeiraGTx Holdings plc,S2,0.98,321.4,8608.6,244.4,-44.8,1289.6
4,1706431,"Vir Biotechnology, Inc.",S2,0.979,238.9,19582.5,73.5,-118.4,9785.0
5,1377121,"PROTAGONIST THERAPEUTICS, INC.",S2,0.979,213.5,3749.2,158.8,-42.0,832.4
6,1655759,"ARVINAS, INC.",S2,0.974,249.7,1014.7,164.1,-71.5,384.9
7,1596993,DORIAN LPG LTD.,S1+S3,0.969,187.9,123.1,142.7,15.6,57.4
8,1819576,LIQUIDIA     CORPORATION,S2,0.968,171.7,1842.7,85.5,-37.5,474.2
9,1590877,REGENXBIO Inc.,S2,0.967,108.0,405.7,29.3,-63.3,323.3
10,1679049,"INTERNATIONAL SEAWAYS, INC.",S1+S3,0.954,467.3,138.8,301.3,69.4,29.0
11,893538,SM ENERGY CO,S1+S3,0.947,2500.0,215.3,1496.0,295.0,22.6
12,1141197,PEDEVCO CORP.,S2,0.93,46.1,561.4,15.4,-2.2,65.5
13,2074176,"Viper Energy, Inc.",S1+S3,0.912,658.0,129.3,428.0,135.0,18.0
14,1051627,AXT INC,S2,0.911,47.6,164.8,10.4,-6.7,59.4
15,1959455,Himalaya Shipping Ltd.,S1+S3,0.906,53.7,79.6,36.7,13.6,22.9
16,1070081,"PTC Therapeutics, Inc.",S2,0.903,360.5,101.5,149.0,-35.0,60.9
17,718937,STAAR Surgical Co,S2,0.902,93.5,111.0,10.1,-30.0,78.4
18,1673743,"Hinge Health, Inc.",S2,0.894,212.8,53.0,40.4,-580.7,436.5
19,1434647,"Zevra Therapeutics, Inc.",S2,0.892,39.7,53.3,16.8,-71.0,316.8
20,1337298,FUTUREFUEL CORP.,S2,0.889,78.7,120.7,11.3,-15.6,57.9
21,1486159,Chord Energy Corporation,S2,0.889,2172.7,84.0,602.7,-403.2,61.9
22,1321655,Palantir Technologies Inc.,S1+S3,0.887,1935.5,92.8,912.0,269.3,20.3
23,1001614,"Riley Exploration Permian, Inc.",S1+S3,0.883,165.8,94.2,87.2,28.8,18.9
24,1559432,"TXO Partners, L.P.",S2,0.878,134.4,79.1,57.7,-3.7,47.8
25,1710340,"Eton Pharmaceuticals, Inc.",S2,0.878,37.6,98.6,12.8,-1.5,41.8
26,1866175,Crescent Energy Company,S1+S3,0.873,1395.0,55.3,581.0,79.6,32.8
27,1724965,Talos Energy Inc.,S2,0.872,664.8,56.5,198.2,-273.6,94.2
28,97210,"TERADYNE, INC.",S1+S3,0.866,1329.0,103.9,437.8,90.7,19.0
29,1217234,"CAREDX, INC.",S2,0.865,131.9,52.2,113.2,-11.1,98.6
30,1876042,"CIRCLE INTERNET GROUP, INC.",S2,0.862,33.6,41.1,34.4,-325.6,1470.1
31,1658566,PERMIAN RESOURCES CORPORATION,S1+S3,0.857,1858.0,55.1,928.2,297.5,25.1
32,1818643,"PHOENIX ENERGY ONE, LLC",S1+S3,0.855,405.9,147.7,163.5,46.7,11.8
33,2029118,"INFINITY NATURAL RESOURCES, INC.",S1+S3,0.848,170.4,135.1,70.5,21.7,11.5
34,1451809,SiTime Corporation,S2,0.835,157.4,126.5,8.2,-24.6,40.6
35,56978,"KULICKE AND SOFFA INDUSTRIES, INC.",S2,0.828,330.4,122.6,68.3,-6.1,24.8
36,1299969,"Comstock Holding Companies, Inc.",S1+S3,0.81,22.6,74.1,6.6,1.8,15.7
37,934549,Acacia Research Corporation,S2,0.809,114.6,123.6,8.5,-12.4,31.6
38,1850351,"Liftoff Mobile, Inc.",S1+S3,0.802,219.5,35.4,77.4,0.0,35.2
39,1787306,"ARCUTIS BIOTHERAPEUTICS, INC.",S2,0.799,129.9,59.3,16.4,-14.6,30.6
40,719413,HECLA MINING COMPANY,S1+S3,0.798,333.9,52.4,145.7,58.0,17.2
41,1098972,AGENUS INC,S2,0.797,34.5,34.4,11.3,-16.7,97.8
42,1656472,CRONOS GROUP INC.,S2,0.796,53.0,58.4,7.4,-5.3,29.9
43,1698990,Magnolia Oil & Gas Corp,S1+S3,0.791,478.8,50.1,239.5,107.8,16.2
44,1786117,"ALPINE INCOME PROPERTY TRUST, INC.",S1+S3,0.782,20.0,34.6,8.7,2.5,26.8
45,1664703,BLOOM ENERGY CORPORATION,S2,0.781,1060.7,167.7,182.2,-3.5,18.1
46,1795586,"Chime Financial, Inc.",S2,0.78,669.8,26.8,21.3,-930.6,179.4
47,1713445,"Reddit, Inc.",S1+S3,0.78,804.9,61.1,231.7,67.7,15.2
48,717423,MURPHY OIL CORPORATION,S1+S3,0.778,926.3,35.6,354.7,92.2,24.8
49,882796,"BIOCRYST PHARMACEUTICALS, INC.",S1+S3,0.777,218.2,33.6,98.5,29.8,26.9
50,1691303,"Warrior Met Coal, Inc.",S1+S3,0.774,509.7,71.3,94.5,7.7,15.9
